company,date,deadline,positions,note,apply_url,notice_url,types,industries,locations,grades,exam
中船701所,2026-08-01,招满为止,舰船总体控制、自动化,701所校园招聘，舰船总体与控制系统方向，控制类对口,,https://m.gaoxiaojob.com/announcement/detail/343429.html,校园招聘,军工/国防|科研院所,武汉|上海,2027届,
中船719所,2026-08-01,招满为止,舰船控制系统、自动化,719所官方校招投递页，潜艇/舰船控制方向，控制类对口,https://campus.51job.com/cssc719/m/,http://campus.51job.com/cssc719/job.html,校园招聘,军工/国防|科研院所,武汉,2027届,
中船716所,2026-08-01,招满为止,自动化、伺服控制、测试（舰船自动化）,江苏自动化研究所(716所)，舰船自动化与控制最对口,,http://www.job.ustc.edu.cn/Jobinformation/info.aspx?itemid=15878,校园招聘,军工/国防|科研院所,连云港,2027届,
中国兵器工业集团,2026-08-01,招满为止,火控、制导、伺服、自动化测试,中国兵器「兵器未来科学家」2027届博士提前批+硕士校招，火控/制导方向对口,,https://m.fenbi.com/page/fenxiaozhaokaodetail/1/2010/467956163957760,提前批|校园招聘,军工/国防,北京|西安|南京|成都|绵阳|重庆|太原,2027届,
兵器202所,2026-08-01,招满为止,火炮火控、随动伺服、制导控制,202所(火炮研究所)2027届暑期开放日，火炮火控与随动伺服方向对口,,https://jdjyw.jlu.edu.cn/mportal/recruit/details?id=cfc31bde680f48f4a2630031bbc27730,提前批,军工/国防|科研院所,咸阳,2027届,
中国工程物理研究院,2026-08-01,招满为止,精密控制、自动化、测试,中物院计算机应用研究所/软件中心2027年度人才招聘，控制类岗位以官方为准,,https://job.xjtu.edu.cn/frontpage/xjtu/html/newsDetail.html?id=5d81f586a3ea49f99d599f1392ee6479,校园招聘,科研院所|军工/国防,绵阳|成都|北京,2027届,
中国航发,2026-07-28,招满为止,发动机控制系统、动力控制、液压伺服,中国航发2027届校园招聘开启，航空发动机控制系统(FADEC)方向，控制类对口,,https://www.gaoxiaojob.com/announcement/detail/420377.html,校园招聘,航空航天|军工/国防,北京|沈阳|成都|西安|株洲,2027届,
国家电网,2026-08,招满为止,电网调度自动化、继电保护、自动化/控制类岗位（电气/自动化类专业对口）,国网2027届秋招网申官网zhaopin.sgcc.com.cn，控制/自动化可报电气类与自动化类岗位,https://zhaopin.sgcc.com.cn,https://www.gwy.com/gqzp/411480.html,校园招聘|秋招,电力/能源|电网|央企,全国,2027届,需要笔试
中国南方电网,2026-08,招满为止,电网调度自动化、继电保护、自动化/控制类岗位,南网招聘官网zhaopin.csg.cn，电气/自动化/控制类专业对口,https://zhaopin.csg.cn,https://www.gwy.com/gqzp/409781.html,校园招聘|秋招,电力/能源|电网|央企,广州|深圳|昆明|贵阳|南宁|海口,2027届,需要笔试
无锡信捷电气,2026-08,招满为止,运动控制算法工程师、控制算法工程师、PLC/伺服应用工程师,信捷电气卓越计划校招及2026届补录进行中，运动控制/控制算法对口,,https://job.dlut.edu.cn/frontpage/dlut/html/recruitmentinfoForm.html?positionDetailId=57a51b3ecbd547ac98e06b841e0bf5c0,校园招聘,工业自动化|运动控制|PLC,无锡,2026届|2027届,
中国科学院自动化研究所,2026-08,招满为止,控制算法、机器人控制、模式识别、智能系统研究/工程岗,中科院自动化所（模式识别国家重点实验室）招聘，控制/机器人/智能系统方向,https://www.nowcoder.com/enterprise/3792?recruitType=2,https://www.nowcoder.com/enterprise/3792?recruitType=2,校园招聘|社招,科研院所|人工智能|机器人,北京,2027届,
中国科学院沈阳自动化研究所,2026-08,招满为止,机器人控制、运动控制、工业自动化、智能装备研究/工程岗,「以智取胜，控创未来」沈阳自动化所招聘，机器人/控制/自动化最对口,,https://www.91wllm.cn/campusUnion/view/id/991271,校园招聘,科研院所|机器人|工业自动化,沈阳,2026届|2027届,
海康威视,2026-08,招满为止,算法工程师(图像/智能)、嵌入式软件开发、硬件开发、机器人算法、控制类,海康2027超新星实习生(可转正)招聘启动，含算法/嵌入式等对口岗,https://campushr.hikvision.com,https://www.scfai.edu.cn/xsc/info/1015/18762.htm,校园招聘|实习,安防,杭州|苏州|武汉|广州,2027届,需要笔试
大华股份,2026-08,招满为止,嵌入式软件、硬件、图像算法、飞控、智能算法、雷达算法、测控,大华2027届全球校园招聘启动，含转正实习，覆盖嵌入式/飞控/算法,https://career.smbu.edu.cn/detail/online?id=3532206,https://jdjyw.jlu.edu.cn/portal/recruit/details?id=a3c98343a7bd4ae9b776b0fa46cfa384,校园招聘|实习,安防,杭州|全国31省区,2027届,需要笔试
美的集团,2026-08,招满为止,自动化、电机控制、机器人、运动控制、嵌入式、智能家电研发,美的27届美少年暑期实习及2027校招启动,https://24365.cq.smartedu.cn/campus/view/id/725932/mark/,https://jy.hnust.edu.cn/detail/online?id=1345864,校园招聘|提前批,智能制造,佛山|合肥,2027届,需要笔试
格力电器,2026-08,招满为止,电机与控制器、自动化、电气控制、嵌入式、智能装备,格力常设电机/控制岗，2027届提前批以官方为准,http://job.hust.edu.cn/zpinfo1/2375300.htm,https://www.scfai.edu.cn/xsc/info/1015/14072.htm,校园招聘|提前批,智能制造,珠海,2026届|2027届,需要笔试
海尔智家,2026-08,招满为止,智造管理、智能制造、自动化控制、嵌入式、智能家居研发,海尔智家全球校招27届顶尖人才提前批启动,https://job.tju.edu.cn/recruitment/content/type/2/id/6111.html,http://job.hust.edu.cn/zpinfo1/2394272.htm,提前批,智能制造,青岛|上海,2027届,需要笔试
先导智能,2026-08,招满为止,电气工程师、软件开发、运动控制、机器视觉、锂电/光伏装备控制,锂电/光伏智能装备龙头，校招设电气/软件/控制岗,http://job.hust.edu.cn/extxjh/561773128489836.do,https://jdjyw.jlu.edu.cn/portal/recruit/details?id=c79a958db95340d0a12c36ee773d9e42,校园招聘,智能制造,无锡,2026届|2027届,
迈瑞医疗,2026-08,招满为止,嵌入式软件、硬件、算法、控制系统、运动控制、机械设计,迈瑞2027届暑期实习生招聘启动，研发岗对口,https://www.sohu.com/a/1034298705_121124209,http://www.offcn.com/gqzp/2026/0511/237155.html,校园招聘|实习,医疗器械,深圳|武汉,2027届,需要笔试
联影医疗,2026-08,招满为止,控制系统工程师、算法工程师、软件/硬件、机器人、医学影像控制,联影集团2027届实习生专项启动，含控制系统工程师,https://career.cic.tsinghua.edu.cn/xsglxt/f/jyxt/anony/showZwxx?zpxxid=545737312,https://jdjyw.jlu.edu.cn/portal/jyzp/recruit/details?id=d57b805ddf9c422785cbba8de914accd,校园招聘|实习,医疗器械,上海|武汉|成都,2026届|2027届,需要笔试
微创医疗机器人,2026-08,招满为止,运动控制算法工程师(手术机器人)、控制算法、机器人软件、嵌入式,微创医疗机器人设运动控制算法(手术机器人)等对口岗,https://www.medbotsurgical.com/talent,https://m.fenbi.com/page/exam-information-detail/467208806094848,校园招聘|社招,医疗机器人,上海,2026届|2027届,
阳光电源,2026-08,招满为止,电力电子、储能变流器控制、控制算法、嵌入式、光伏逆变器软件,阳光电源2027届全球校招提前批启动，储能/光伏逆变器控制高度对口,https://www.ahbys.com/NW/job.html?id=323639&cid=11095,https://24365.cq.smartedu.cn/campus/view/id/731093/jyzd.xzeduc.cn/admin/default/login,提前批,储能/光伏,合肥|上海|深圳,2027届,需要笔试
锦浪科技,2026-08,招满为止,电力电子、逆变器软件/控制、硬件工程师、嵌入式、测试,锦浪(组串式逆变器龙头)2027暑期实习及26校招，电力电子对口,https://campus.niuqizp.com/job-vyl5zn5zM.html,https://msearch.51job.com/jobs/campus/coBGYGYgBkVW9WMVExVjU.html,校园招聘|实习,储能/光伏,宁波,2026届|2027届,
正泰电器,2026-08,招满为止,电气工程师、自动化、嵌入式、新能源/储能研发,正泰电气2026届校招及宣讲会，2027届岗位以官方为准,https://www.goworkla.cn/Campustalk/CampustalkDetail?ctid=68f1e9685828e757bb26906d,http://job.xpu.edu.cn/detail/career?id=686903,校园招聘,储能/光伏,温州|上海|杭州,2026届|2027届,
三一集团,2026-08,招满为止,电气工程师、控制、液压、智能化、嵌入式、电驱动,三一2027届校招提前批启动，覆盖多城市，电气/控制岗对口,https://career.csu.edu.cn/campus/view/id/587546,https://jxdxsjy.jx.edu.cn/sru/news/view/aid/69926/tag/,提前批,工程机械,北京|长沙|上海|昆山|西安|沈阳|珠海|宁乡,2027届,需要笔试
徐工集团,2026-08,招满为止,电气工程师、智能控制、液压、嵌入式、新能源电控,徐工(国企工程机械龙头)，2027届以官方为准,https://pmc.whu.edu.cn/info/1891/166551.htm,https://campus.niuqizp.com/schedule-78ks5MCLt.html,校园招聘,工程机械,徐州,2026届|2027届,
中联重科,2026-08,招满为止,智能控制类、电气类、液压类、机器人、嵌入式,中联重科2027届夏令营海狮计划启动，设智能控制类岗,https://mp.weixin.qq.com/s/kXjxAYVPJhf_WAO_eilRNw,https://campus.niuqizp.com/job-vYy5zMZZZ.html,校园招聘|实习,工程机械,长沙,2026届|2027届,
明阳智能,2026-08,招满为止,变流器/储能变流器控制、电气工程师、控制、结构设计,明阳智能(风电整机龙头)27届校招，含储能变流器工程师,https://www.quanzhi.com/job/6a7c9cf0f87cf99210c4c5a1,https://career.sysu.edu.cn/campus/view/id/995971,校园招聘,风电,中山|天津,2026届|2027届,
极飞科技,2026-08,招满为止,飞控算法、嵌入式、机器人控制算法、定位控制AI、电机控制,极飞(农业无人机龙头)2027届实习生招聘，含机器人算法(定位控制),https://haue.goworkla.cn/module/position_brief_detail/id-113268/,https://www.zhaopin.com/jobdetail/CC641482020J40879946310.htm,校园招聘|实习,农业无人机,广州|东莞,2027届,
傅利叶智能,2026-08,招满为止,运动控制算法、机器人算法(多模态)、嵌入式、硬件、控制,傅利叶(康复/人形机器人)27届实习及校招，设运动控制算法工程师,https://app.mokahr.com/campus-recruitment/fftai/147078?locale=zh-CN,https://campus.niuqizp.com/schedule-7sr85zCZn.html,校园招聘|实习|社招,医疗机器人,上海|深圳|北京,2027届,
达闼科技,2026-08,招满为止,机器人控制、机器人SLAM开发、嵌入式、软硬件工程师,达闼(云端智能/人形机器人)设机器人控制/SLAM应届岗,https://ylt.gzrc.com.cn/jobs/53013587.html,https://wap.shixiseng.com/com/com_gkmj5423mkxn,校园招聘|社招,机器人,深圳|北京|上海,2026届|2027届,
埃夫特,2026-08,招满为止,机器人控制、运动控制、软件工程师、电气工程师、嵌入式,埃夫特(工业机器人本体龙头)2027届秋招宣讲会已排期,https://m.yingjiesheng.com/xuanjianghui/xjh_6144246,https://10333.ncss.cn/student/jobs/WMM9HdJtH6aKS3v1gki9sa/detail.html,校园招聘,机器人|智能制造,芜湖|上海,2027届,
中国工商银行,2026-08,招满为止,信息科技岗、金融科技岗、软件开发中心/数据中心岗位（自动化类、电子信息类可报）,工行招聘官网job.icbc.com.cn，软件/数据中心岗招自动化、电子信息类专业,https://job.icbc.com.cn,,校园招聘|秋招,银行/金融,北京|上海|深圳|杭州|成都|全国,2027届,需要笔试
中国建设银行,2026-08,招满为止,金融科技岗、信息科技岗、科技类专项人才（计算机、电子信息、自动化等可报）,建行招聘官网job.ccb.com，金融科技/信息科技岗招自动化等专业,http://job.ccb.com,,校园招聘|秋招,银行/金融,北京|上海|深圳|广州|全国,2027届,需要笔试
招商银行·招银网络科技,2026-08,招满为止,后端开发、前端开发、算法、测试技术开发、运维研发工程师,招银网络科技2027届秋招已启动，招计算机/软件/电子信息/自动化等理工类,https://cmbnt.cmbchina.com,https://scdc.jnu.edu.cn/campus/view/id/1036169,校园招聘|秋招|提前批,银行/金融,深圳|杭州|成都,2027届,需要笔试
江苏银行,2026-08,招满为止,金融科技培训生、信息科技岗、总行本部及分行岗位（计算机、电子信息、自动化等可报）,江苏银行招聘官网hr.jsbchina.cn/zp，2027届秋招预计9月,https://hr.jsbchina.cn/zp,,校园招聘|秋招,银行/金融,南京|上海|深圳|北京,2027届,需要笔试
杭州银行,2026-04-20,招满为止,信息技术方向（软件开发、金融科技、数据方向），计算机、电子信息、自动化等可报,杭州银行总行信息技术部2027届「摘星计划」暑期实习暨提前批,https://www.hzbank.com.cn,http://www.offcn.com/yinhang/2026/0420/73097.html,暑期实习|提前批|校园招聘,银行/金融,杭州,2027届,含免笔试
宁波银行,2026-05-15,招满为止,应用研发（后端、数据）、算法工程师（技术流法师方向），计算机、电子信息、自动化等可报,宁波银行总行金融科技部2027届暑期实习，表现优异可转正,https://zhaopin.nbcb.com.cn,https://www.bianzhia.com/zhejiang/ningbo/20260515/251347.html,暑期实习|提前批|校园招聘,银行/金融,宁波,2027届,含免笔试
国家能源集团,2026-08,招满为止,电气类、自动化类、计算机类、能源动力类岗位（直招+统招）,国家能源集团招聘官网zhaopin.chnenergy.com.cn，电气/自动化/控制/计算机可报,http://zhaopin.chnenergy.com.cn,http://www.offcn.com/gqzp/2026/0813/252342.html,校园招聘|秋招,电力/能源|央企,北京|全国各能源基地,2027届,需要笔试
中国华能集团,2026-08,招满为止,火电技术岗、核电技术岗、风电/海上风电岗、水电岗（电气、自动化、热动、控制可报）,华能招聘官网zhaopin.chng.com.cn，招电气/自动化/热动/控制/新能源,https://zhaopin.chng.com.cn,,校园招聘|秋招,电力/能源|央企,北京|省会城区|县域电厂|海上风电|核电基地,2027届,需要笔试
国家电力投资集团,2026-08,招满为止,电气类、自动化类、控制类、能源动力类、新能源类岗位,国家电投招聘官网zhaopin.spic.com.cn，电气/自动化/控制可报,https://zhaopin.spic.com.cn,https://fenbi.com/page/exam-timeline-detail/694666,校园招聘|秋招,电力/能源|央企,北京|全国各发电基地,2027届,需要笔试
中国大唐集团,2026-08,招满为止,电气类、自动化类、热控类、能源动力类岗位,大唐招聘官网zhaopin.china-cdt.com，招电气/自动化/热控/能动,https://zhaopin.china-cdt.com,,校园招聘|秋招,电力/能源|央企,北京|全国各发电基地,2027届,需要笔试
中国长江三峡集团,2026-08,招满为止,电气类、自动化类、水利水电类、新能源类岗位,三峡集团官网ctg.com.cn人才招聘，电气/自动化/水利/新能源可报,https://www.ctg.com.cn,,校园招聘|秋招,电力/能源|央企,武汉|北京|宜昌|四川|浙江|湖北|云南|湖南,2027届,需要笔试
中国石油天然气集团,2026-08,招满为止,自动化类、电气类、计算机类、电子信息类、油气储运类岗位,中国石油招聘官网zhaopin.cnpc.com.cn，自动化/电气/电子信息可报，部分可免笔试,https://zhaopin.cnpc.com.cn,,校园招聘|秋招,电力/能源|央企,北京|全国各油田/炼化基地,2027届,含免笔试
中国石油化工集团,2026-08,招满为止,电气仪表类、自动化类、计算机类、化工设备类岗位,中国石化招聘官网job.sinopec.com，电气仪表/自动化可报,http://job.sinopec.com,,校园招聘|秋招,电力/能源|央企,北京|全国各炼化基地,2027届,需要笔试
中国海洋石油集团,2026-08,招满为止,电气类、自动化类、控制类、电子信息类、海洋工程类岗位,中国海油招聘官网cnooc.zhaopin.com，电气/自动化/控制/电子信息可报,https://cnooc.zhaopin.com,,校园招聘|秋招,电力/能源|央企,北京|天津|深圳|湛江|上海|海上平台,2027届,需要笔试
国家石油天然气管网集团,2026-08,招满为止,电气类、自动化类、仪表控制类、电子信息类、油气储运类岗位,国家管网招聘官网zhaopin.pipechina.com.cn，电气/自动化/仪表控制可报,https://zhaopin.pipechina.com.cn,,校园招聘|秋招,电力/能源|央企,北京|全国各管网枢纽,2027届,需要笔试
中国兵器工业导航与控制技术研究所,2026-08,招满为止,导航、制导与控制、惯性技术、自动化、电子信息类研究岗（博士为主）,兵器工业导航控制所2027届提前批，导航制导与控制/自动化/电子信息对口,,https://m.fenbi.com/page/exam-information-detail/467775267560448,提前批,军工/国防|央企|事业单位,北京,2027届,含免笔试
中国电子科技集团第二十九研究所,2026-08,招满为止,电子信息、信号处理、雷达、控制、自动化类研究岗,中电科29所2027届秋招，招电子信息/信号处理/控制/自动化,,https://career.sysu.edu.cn/campus/view/id/996430,校园招聘|秋招,军工/国防|央企|事业单位,成都,2027届,含免笔试
定向选调生（2027届）,2026-08,招满为止,定向选调-专业不限，或按「自动化类/电气类/电子信息类」报考的岗位,各省定向选调2027届公告预计9月起陆续发布，控制/自动化硕士可按自动化类/电气类报考,,https://www.jinbiaochi.com/qgxds/news_935819.html,定向选调,选调/公务员,北京|上海|江苏|浙江|广东|四川|各省,2027届,需要笔试
中国烟草（各省局/工业公司）,2026-08,招满为止,自动化类、电气类、机械类、电子信息类岗位（各省局/工业公司分散招聘）,烟草由各省局/工业公司分别在其官网发布，自动化/电气/机械类常见可报，谨防假冒,http://www.tobacco.gov.cn,,校园招聘|秋招,央企|烟草,各省（省局及工业公司所在地）,2027届,需要笔试
